Portfolio,Geography,Category,Brand,Segment,Initial Sales ($),Margin (%),Trend (%),Contribution (%),Optimized Sales ($),Optimized Contribution (%),Optimized Sales for Margin ($),Optimized Margin ($),Optimized Sales for Target ($),Optimized Margin for Target ($),Optimized Sales for Margin Target ($),Achieved Margin ($),Sales (Year 1),Margin (Year 1),Sales (Year 2),Margin (Year 2),Sales (Year 3),Margin (Year 3),Sales (Year 4),Margin (Year 4),Sales (Year 5),Margin (Year 5)
Skin/Body,North America,Fragrance,Bobbi Brown,Lipstick,2185430.534813131,19.260714596148745,9.639878836228101,9.381218778758512,2491390.8096869695,0.031752448466593836,2491390.8096869695,479859.67332848656,2491390.8096869695,479859.67332848656,2622516.6417757575,505115.4456089332,2396103.3904190487,461506.6354572567,2627084.8540461985,505995.31593648915,2880332.6509011523,554772.6513097563,3157993.22852834,608252.0627125469,3462419.94941476,666886.8245768946
Skin/Body,North America,Fragrance,Bobbi Brown,Mascara,1202083.8819909643,7.33991780504304,-3.838327756636011,13.126466040849092,1370375.6254696993,0.017465257260489805,1370375.6254696993,100584.4445298204,1190063.0431710547,87349.64919694929,1442500.6583891571,105878.36266296884,1155943.9626904575,84845.33673383697,1111575.0447193515,81588.69462377082,1068909.1512420496,78457.05311174964,1027880.9145967036,75445.6142651227,988427.4761465742,72549.76431161996
Skin/Body,North America,Fragrance,Bobbi Brown,Toner,3205017.5528444396,15.621088666940683,-4.588310114083951,14.57873793026792,3653720.010242661,0.04656618138170359,3653720.010242661,570750.8424417602,3653720.010242661,570750.8424417602,3846021.0634133276,600790.3604650109,3057961.4083091123,477686.8629927944,2917652.6557268817,455769.10834444576,2783781.703830326,434857.0082494073,2656053.1663594604,414904.4201580968,2534185.2102919426,395867.3186842016
Skin/Body,North America,Fragrance,Bobbi Brown,Bronzer,4245991.883601898,8.185086660174143,-1.3635006558579876,3.5676631379480734,4840430.747306163,0.061690653775537646,4840430.747306163,396193.45139272435,4840430.747306163,396193.45139272435,5095190.260322277,417045.73830813094,4188097.7564213094,342799.43077589315,4130993.0160445315,338125.35828898643,4074666.8991773166,333515.01681109396,4019108.789283006,328967.53736948984,3964308.214581486,324482.06283989694
Skin/Body,North America,Fragrance,Bobbi Brown,Hair Dye,1869090.0933179196,12.871346474483568,3.638900372842315,5.077207962772587,2130762.7063824283,0.027156290681448255,2130762.7063824283,274257.8504875654,1850399.1923847403,238171.29121288573,2242908.1119815037,288692.47419743723,1937104.4196924241,249331.42143114624,2007593.7196429567,258404.34345521725,2080648.0549922031,267807.4200726499,2156360.764822851,277552.66528017295,2234828.584733815,287652.5302518869
Skin/Body,North America,Fragrance,Bobbi Brown,Face Make-Up,3253338.0262507075,7.092407909780627,0.8428929707043631,6.129065806111684,3708805.3499258063,0.04726823679699737,3708805.3499258063,263043.603996505,3220804.6459882003,228432.60347064908,3904005.6315008486,276888.00420684734,3280760.1837872267,232684.89477585873,3308413.4807620374,234646.17939781534,3336299.865433216,236623.99554998585,3364421.302480572,238618.4825754765,3392779.7731440607,240629.7809919066
Skin/Body,North America,Fragrance,Bobbi Brown,Tools,2552314.9289766615,16.777639420895206,-1.0065243568328053,8.199282137790561,2909639.019033394,0.0370829669311723,2909639.019033394,488168.7430630952,2909639.019033394,488168.7430630952,3062777.9147719936,513861.8348032581,2526625.2575534317,423908.0752295795,2501194.1589302667,419641.3372018127,2476019.030508954,415417.54493153753,2451097.295887066,411236.26615924475,2426426.4045942924,407097.07297622215
Skin/Body,North America,Fragrance,Aveda,Lipstick,3165865.559879191,5.696756190799966,7.150897038028766,3.3873377316220816,3609086.7382622776,0.0459973361957367,3609086.7382622776,205600.87219329685,3134206.9042803994,178548.1258520736,3799038.671855029,216421.97072978615,3392253.3464285647,193248.40252028825,3634829.8905007564,207067.39681214944,3894752.833477959,221874.5731575127,4173262.5984856756,237740.59543757222,4471688.31002995,254741.18063490954
Skin/Body,North America,Fragrance,Aveda,Mascara,792732.1684337578,19.233283058799998,14.312640661491187,12.317562873630456,903714.6720144838,0.01151772473434228,903714.6720144838,173814.0009124517,784804.8467494203,150943.73763449755,713458.951590382,137221.57966772505,906193.0751097286,174290.67919509817,1035893.2336495011,199236.277814765,1184156.9098184553,227752.25032572256,1353641.033188989,260349.61151330307,1547382.8101158259,297612.5158727905
Skin/Body,North America,Fragrance,Aveda,Toner,1870761.961280168,6.465081710095758,8.684660530243137,7.162134912354418,2132668.635859391,0.027180581502166914,2132668.635859391,137878.76991389418,1852054.3416673664,119736.8265041713,2244914.3535362016,145135.5472777834,2033231.286946269,131450.06405630783,2209810.5220122463,142866.05588638532,2401725.064210603,155273.48785306528,2610306.7329070577,168758.4631665723,2837003.0114581157,183414.5628086445
Skin/Body,North America,Fragrance,Aveda,Bronzer,1049172.0568015047,12.427653651669052,-4.312229577695632,13.73048562910295,1196056.1447537153,0.015243578386731283,1196056.1447537153,148641.71514949718,1038680.3362334897,129083.59473508966,944254.8511213543,117348.72248644516,1003929.3490471925,124764.86240704075,960637.6107184123,119384.7151077531,919212.7115345442,114236.57211162889,879574.1491058136,109310.42886048563,841644.8924903079,104596.71221565781
