Portfolio,Geography,Category,Brand,Segment,Initial Sales ($),Margin (%),Trend (%),Contribution (%),Optimized Sales ($),Optimized Contribution (%),Optimized Sales for Margin ($),Optimized Margin ($),Optimized Margin Contribution (%),Optimized Sales for Target ($),Optimized Margin for Target ($),Optimized Margin Contribution for Target (%),Optimized Sales for Margin Target ($),Achieved Margin ($),Sales (Year 1),Margin (Year 1),Sales (Year 2),Margin (Year 2),Sales (Year 3),Margin (Year 3),Sales (Year 4),Margin (Year 4),Sales (Year 5),Margin (Year 5)
Skin/Body,North America,Fragrance,Bobbi Brown,Lipstick,2185430.53,19.26,9.64,9.38,2491390.8042,0.03175244839673839,2491390.8042,479841.86888892006,0.049271238528503486,2491390.8042,479841.86888892006,0.05056778681047506,1966887.477,378822.52807020006,2396106.033092,461490.02197351924,2627090.6546820686,505977.66009176645,2880342.19379342,554753.9065246128,3158007.181275106,608232.1831135855,3462439.0735500264,666865.7655657352
Skin/Body,North America,Fragrance,Bobbi Brown,Mascara,1202083.88,7.34,-3.84,13.13,1370375.6232,0.01746525723160418,1370375.6232,100585.57074288,0.01032835183822897,1190063.0411999999,87350.62722407999,0.00920538240119911,1081875.4919999999,79409.66111279998,1155923.859008,84844.81125118719,1111536.3828220926,81586.7704991416,1068853.3857217245,78453.83851197457,1027809.4157100101,75441.21111311474,988341.5341467457,72544.26860637113
Skin/Body,North America,Fragrance,Bobbi Brown,Toner,3205017.55,15.62,-4.59,14.58,3653720.007,0.04656618134048667,3653720.007,570711.0650934001,0.058601891252600735,3653720.007,570711.0650934001,0.06014397104789327,2884515.795,450561.367179,3057907.2444549995,477645.11158387095,2917549.301934515,455721.2009621713,2783633.7889757203,434803.59783800755,2655864.9980617347,414846.112697243,2533960.794650701,395804.6761244395
Skin/Body,North America,Fragrance,Bobbi Brown,Bronzer,4245991.88,8.19,-1.36,3.57,4840430.7432,0.06169065372335135,4840430.7432,396431.27786808,0.04070645210103432,4840430.7432,396431.27786808,0.0417776222626332,5519789.444,452070.75546360004,4188246.3904319997,343017.37937638076,4131286.239522124,338352.343016862,4075100.746664623,333750.75115183264,4019679.376509984,329211.7409361677,3965011.736989448,324734.4612594358
Skin/Body,North America,Fragrance,Bobbi Brown,Hair Dye,1869090.09,12.87,3.64,5.08,2130762.7026000004,0.027156290633306067,2130762.7026000004,274229.15982462,0.028158464738552852,1850399.1891,238146.37563717,0.025096882814316233,1682181.081,216496.70512469998,1937124.969276,249307.98354582116,2007636.3181576466,258382.79414688906,2080714.2801385846,267787.9278538358,2156452.279935629,277535.4084277154,2234947.1429252857,287637.69729448424
Skin/Body,North America,Fragrance,Bobbi Brown,Face Make-Up,3253338.03,7.09,0.84,6.13,3708805.3542,0.047268236851583434,3708805.3542,262954.29961278,0.027000736822563716,3220804.6497,228355.04966373002,0.02406503103872348,4229339.439,299860.16622510005,3280666.069452,232599.2243241468,3308223.664435396,234553.0578084696,3336012.7432166534,236523.30349406073,3364035.250259673,238510.09924341083,3392293.146361854,240513.58407705545
Skin/Body,North America,Fragrance,Bobbi Brown,Tools,2552314.93,16.78,-1.01,8.2,2909639.0202000006,0.03708296694612844,2909639.0202000006,488237.4275895601,0.050133313312175694,2909639.0202000006,488237.4275895601,0.05145254666586624,2297083.4370000004,385450.60072860005,2526536.549207,423952.83295693464,2501018.5300600096,419670.9093440696,2475758.2429064033,415432.2331596945,2450753.084653049,411236.3676047816,2426000.478498053,407082.8802919733
Skin/Body,North America,Fragrance,Aveda,Lipstick,3165865.56,5.7,7.15,3.39,3609086.7384000006,0.04599733619760098,3609086.7384000006,205717.94408880005,0.021123579558121088,3134206.9044,178649.7935508,0.018826878727632508,4115625.228,234590.637996,3392224.9475399996,193356.82200977998,3634769.0312891095,207181.83478347925,3894655.0170262805,221995.335970498,4173122.850743659,237868.00249238856,4471501.134571831,254875.56467059435
Skin/Body,North America,Fragrance,Aveda,Mascara,792732.17,19.23,14.31,12.32,903714.6738000001,0.011517724757125748,903714.6738000001,173784.33177174002,0.017844564675168356,784804.8483000001,150917.97232809002,0.015904380891619708,713458.9530000001,137198.15666190002,906172.1435270001,174256.90320024212,1035845.3772657138,199193.06604819675,1184074.8507524373,227697.59379969368,1353515.9618951112,260281.11947242988,1547204.0960423015,297527.34766893456
Skin/Body,North America,Fragrance,Aveda,Toner,1870761.96,6.47,8.68,7.16,2132668.6344000003,0.02718058148363159,2132668.6344000003,137983.66064568,0.01416847152677961,1852054.3403999999,119827.91582387999,0.012627977869784908,2431990.548,157349.78845559998,2033144.098128,131544.4231488816,2209621.0058455104,142962.47907820452,2401416.109152901,155371.6222621927,2609859.027427372,168857.87907455096,2836394.7910080682,183514.742978222
