Portfolio,Geography,Category,Brand,Segment,Initial Sales ($),Margin (%),Trend (%),Contribution (%),Optimized Sales ($),Optimized Contribution (%),Optimized Sales for Margin ($),Optimized Margin ($),Optimized Margin Contribution (%),Optimized Sales for Target ($),Optimized Margin for Target ($),Optimized Margin Contribution for Target (%),Optimized Sales for Margin Target ($),Achieved Margin ($)
Skin/Body,North America,Fragrance,Bobbi Brown,Lipstick,2185430.53,19.26,9.64,9.38,2491390.8042,0.03175244839673839,2491390.8042,479841.86888892006,0.049271238528503486,2491390.8042,479841.86888892006,0.05056778681047506,1966887.477,378822.52807020006
Skin/Body,North America,Fragrance,Bobbi Brown,Mascara,1202083.88,7.34,-3.84,13.13,1370375.6232,0.01746525723160418,1370375.6232,100585.57074288,0.01032835183822897,1190063.0411999999,87350.62722407999,0.00920538240119911,1081875.4919999999,79409.66111279998
Skin/Body,North America,Fragrance,Bobbi Brown,Toner,3205017.55,15.62,-4.59,14.58,3653720.007,0.04656618134048667,3653720.007,570711.0650934001,0.058601891252600735,3653720.007,570711.0650934001,0.06014397104789327,2884515.795,450561.367179
Skin/Body,North America,Fragrance,Bobbi Brown,Bronzer,4245991.88,8.19,-1.36,3.57,4840430.7432,0.06169065372335135,4840430.7432,396431.27786808,0.04070645210103432,4840430.7432,396431.27786808,0.0417776222626332,5519789.444,452070.75546360004
Skin/Body,North America,Fragrance,Bobbi Brown,Hair Dye,1869090.09,12.87,3.64,5.08,2130762.7026000004,0.027156290633306067,2130762.7026000004,274229.15982462,0.028158464738552852,1850399.1891,238146.37563717,0.025096882814316233,1682181.081,216496.70512469998
Skin/Body,North America,Fragrance,Bobbi Brown,Face Make-Up,3253338.03,7.09,0.84,6.13,3708805.3542,0.047268236851583434,3708805.3542,262954.29961278,0.027000736822563716,3220804.6497,228355.04966373002,0.02406503103872348,4229339.439,299860.16622510005
Skin/Body,North America,Fragrance,Bobbi Brown,Tools,2552314.93,16.78,-1.01,8.2,2909639.0202000006,0.03708296694612844,2909639.0202000006,488237.4275895601,0.050133313312175694,2909639.0202000006,488237.4275895601,0.05145254666586624,2297083.4370000004,385450.60072860005
Skin/Body,North America,Fragrance,Aveda,Lipstick,3165865.56,5.7,7.15,3.39,3609086.7384000006,0.04599733619760098,3609086.7384000006,205717.94408880005,0.021123579558121088,3134206.9044,178649.7935508,0.018826878727632508,4115625.228,234590.637996
Skin/Body,North America,Fragrance,Aveda,Mascara,792732.17,19.23,14.31,12.32,903714.6738000001,0.011517724757125748,903714.6738000001,173784.33177174002,0.017844564675168356,784804.8483000001,150917.97232809002,0.015904380891619708,713458.9530000001,137198.15666190002
Skin/Body,North America,Fragrance,Aveda,Toner,1870761.96,6.47,8.68,7.16,2132668.6344000003,0.02718058148363159,2132668.6344000003,137983.66064568,0.01416847152677961,1852054.3403999999,119827.91582387999,0.012627977869784908,2431990.548,157349.78845559998
Skin/Body,North America,Fragrance,Aveda,Bronzer,1049172.06,12.43,-4.31,13.73,1196056.1484000003,0.015243578433238838,1196056.1484000003,148669.77924612002,0.015265746134610972,1038680.3394,129107.96618742,0.013605949236603245,944254.854,117370.8783522
Skin/Body,North America,Fragrance,Aveda,Hair Dye,1664509.92,14.94,1.23,8.28,1897541.3088000002,0.02418391461780263,1897541.3088000002,283492.67153472005,0.0291096628825097,1647864.8207999999,246191.00422752,0.025944660154939344,1498058.928,223810.00384320001
Skin/Body,North America,Fragrance,Aveda,Face Make-Up,2960196.26,7.77,14.39,11.85,3374623.7364000003,0.04300913604875282,3374623.7364000003,262208.26431828,0.02692413224649555,2930594.2973999996,227707.17690797994,0.02399675543895361,3848255.138,299009.42422259995
Skin/Body,North America,Fragrance,Aveda,Tools,4727745.24,18.42,6.96,13.91,5389629.573600001,0.06869012064456954,5389629.573600001,992769.7674571202,0.1019398247375328,5389629.573600001,992769.7674571202,0.10462232082602613,6146068.812000001,1132105.8751704004
Skin/Body,North America,Fragrance,Elizabeth Arden,Lipstick,898216.26,7.94,-4.1,5.55,1023966.5364000001,0.013050318943225045,1023966.5364000001,81302.94299016001,0.008348368403976916,889234.0974,70605.18733356,0.007440676381709462,808394.6340000001,64186.533939600005
Skin/Body,North America,Fragrance,Elizabeth Arden,Mascara,2249047.8,9.07,11.57,5.99,2563914.492,0.03267675326714595,2563914.492,232547.04442440002,0.02387845171048533,2226557.3219999997,201948.74910539997,0.02128222223510889,2923762.1399999997,265185.22609799996
Skin/Body,North America,Fragrance,Elizabeth Arden,Toner,1764205.29,13.14,-2.18,12.23,2011194.0306000002,0.02563240362162319,2011194.0306000002,264270.8956208401,0.02713592785145207,1746563.2371,229498.40935494003,0.024185523169280312,1587784.7610000002,208634.91759540004
Skin/Body,North America,Fragrance,Elizabeth Arden,Bronzer,835477.9,19.8,10.44,3.78,952444.8060000001,0.012138783888209596,952444.8060000001,188584.07158800002,0.019364235128968506,827123.121,163770.37795800003,0.017258822323335393,751930.11,148882.16178
Skin/Body,North America,Fragrance,Elizabeth Arden,Hair Dye,524849.53,17.23,9.14,11.21,598328.4642,0.007625617647694067,598328.4642,103091.99438166001,0.010585717034904622,519601.0347,89527.25827881001,0.009434765083863941,472364.57700000005,81388.41661710001
Skin/Body,North America,Fragrance,Elizabeth Arden,Face Make-Up,3970716.56,6.11,2.17,2.62,4526616.878400001,0.05769113725590471,4526616.878400001,276576.29127024004,0.028399473455826055,3931009.3944,240184.67399784,0.025311687406498168,5161931.528,315394.0163608
Skin/Body,North America,Fragrance,Elizabeth Arden,Tools,4383965.42,14.35,1.62,1.89,4997720.5788,0.06369529200803997,4997720.5788,717172.9030578,0.07364092102792347,4997720.5788,717172.9030578,0.07557874545639452,5699155.046,817828.7491009999
Skin/Body,North America,Fragrance,Kilian,Lipstick,1899420.45,9.88,9.59,9.93,2165339.313,0.027596964989015052,2165339.313,213935.52412440005,0.021967379093577724,1880426.2455,185786.11305540003,0.019578934575021655,2469246.585,243961.56259800002
Skin/Body,North America,Fragrance,Kilian,Mascara,4492457.34,12.08,-2.61,10.99,5121401.3676,0.06527158740795051,5121401.3676,618665.2852060801,0.0635259380497075,5121401.3676,618665.2852060801,0.06519759170199663,5840194.542,705495.5006736001
Skin/Body,North America,Fragrance,Kilian,Toner,3923532.72,13.42,10.42,7.91,4472827.3008,0.05700559615807811,4472827.3008,600253.4237673599,0.06163536685215547,4472827.3008,600253.4237673599,0.06325727105808729,5100592.536,684499.5183312
Skin/Body,North America,Fragrance,Kilian,Bronzer,2852297.73,11.41,-4.49,2.51,3251619.4122,0.04144146210127258,3251619.4122,371009.77493202005,0.03809611520438969,3251619.4122,371009.77493202005,0.03909859564111483,3707987.049,423081.32229090005
Skin/Body,North America,Fragrance,Kilian,Hair Dye,641431.34,14.55,1.29,8.12,731231.7276000001,0.009319452274422449,731231.7276000001,106394.21636580002,0.010924796589240669,635017.0266,92394.97737030001,0.009736977577297619,577288.206,83995.433973
Skin/Body,North America,Fragrance,Kilian,Face Make-Up,4584049.13,8.74,3.21,11.58,5225816.0082,0.06660233828088714,5225816.0082,456736.31911668,0.04689870889327945,5225816.0082,456736.31911668,0.04813282523088866,5959263.869,520839.66215060005
Skin/Body,North America,Fragrance,Kilian,Tools,1529591.74,6.15,0.8,3.26,1743734.5836000002,0.022223668117433724,1743734.5836000002,107239.67689140003,0.011011610370871956,1514295.8226,93129.19308990001,0.009814352367595935,1988469.262,122290.85961300002
Skin/Body,North America,Fragrance,Frederic Malle,Lipstick,4683639.44,17.12,7.67,13.2,5339348.961600001,0.06804930085218892,5339348.961600001,914096.5422259202,0.09386148164682082,5339348.961600001,914096.5422259202,0.0963314001308486,6088731.272000001,1042390.7937664003
Skin/Body,North America,Fragrance,Frederic Malle,Mascara,4116524.35,7.8,12.85,8.55,4692837.759000001,0.05980960053545699,4692837.759000001,366041.34520200005,0.037585945704369274,4692837.759000001,366041.34520200005,0.03857500128293131,5351481.655,417415.56909
