Portfolio,Geography,Category,Brand,Segment,Initial Sales ($),Margin (%),Trend (%),Contribution (%),Optimized Sales ($),Optimized Contribution (%)
Skin/Body,North America,Fragrance,Bobbi Brown,Lipstick,2185430.53,19.26,9.64,9.38,2491390.8042,0.03175244839673839
Skin/Body,North America,Fragrance,Bobbi Brown,Mascara,1202083.88,7.34,-3.84,13.13,1370375.6232,0.01746525723160418
Skin/Body,North America,Fragrance,Bobbi Brown,Toner,3205017.55,15.62,-4.59,14.58,3653720.007,0.04656618134048667
Skin/Body,North America,Fragrance,Bobbi Brown,Bronzer,4245991.88,8.19,-1.36,3.57,4840430.7432,0.06169065372335135
Skin/Body,North America,Fragrance,Bobbi Brown,Hair Dye,1869090.09,12.87,3.64,5.08,2130762.7026000004,0.027156290633306067
Skin/Body,North America,Fragrance,Bobbi Brown,Face Make-Up,3253338.03,7.09,0.84,6.13,3708805.3542,0.047268236851583434
Skin/Body,North America,Fragrance,Bobbi Brown,Tools,2552314.93,16.78,-1.01,8.2,2909639.0202000006,0.03708296694612844
Skin/Body,North America,Fragrance,Aveda,Lipstick,3165865.56,5.7,7.15,3.39,3609086.7384000006,0.04599733619760098
Skin/Body,North America,Fragrance,Aveda,Mascara,792732.17,19.23,14.31,12.32,903714.6738000001,0.011517724757125748
Skin/Body,North America,Fragrance,Aveda,Toner,1870761.96,6.47,8.68,7.16,2132668.6344000003,0.02718058148363159
Skin/Body,North America,Fragrance,Aveda,Bronzer,1049172.06,12.43,-4.31,13.73,1196056.1484000003,0.015243578433238838
Skin/Body,North America,Fragrance,Aveda,Hair Dye,1664509.92,14.94,1.23,8.28,1897541.3088000002,0.02418391461780263
Skin/Body,North America,Fragrance,Aveda,Face Make-Up,2960196.26,7.77,14.39,11.85,3374623.7364000003,0.04300913604875282
Skin/Body,North America,Fragrance,Aveda,Tools,4727745.24,18.42,6.96,13.91,5389629.573600001,0.06869012064456954
Skin/Body,North America,Fragrance,Elizabeth Arden,Lipstick,898216.26,7.94,-4.1,5.55,1023966.5364000001,0.013050318943225045
Skin/Body,North America,Fragrance,Elizabeth Arden,Mascara,2249047.8,9.07,11.57,5.99,2563914.492,0.03267675326714595
Skin/Body,North America,Fragrance,Elizabeth Arden,Toner,1764205.29,13.14,-2.18,12.23,2011194.0306000002,0.02563240362162319
Skin/Body,North America,Fragrance,Elizabeth Arden,Bronzer,835477.9,19.8,10.44,3.78,952444.8060000001,0.012138783888209596
Skin/Body,North America,Fragrance,Elizabeth Arden,Hair Dye,524849.53,17.23,9.14,11.21,598328.4642,0.007625617647694067
Skin/Body,North America,Fragrance,Elizabeth Arden,Face Make-Up,3970716.56,6.11,2.17,2.62,4526616.878400001,0.05769113725590471
Skin/Body,North America,Fragrance,Elizabeth Arden,Tools,4383965.42,14.35,1.62,1.89,4997720.5788,0.06369529200803997
Skin/Body,North America,Fragrance,Kilian,Lipstick,1899420.45,9.88,9.59,9.93,2165339.313,0.027596964989015052
Skin/Body,North America,Fragrance,Kilian,Mascara,4492457.34,12.08,-2.61,10.99,5121401.3676,0.06527158740795051
Skin/Body,North America,Fragrance,Kilian,Toner,3923532.72,13.42,10.42,7.91,4472827.3008,0.05700559615807811
Skin/Body,North America,Fragrance,Kilian,Bronzer,2852297.73,11.41,-4.49,2.51,3251619.4122,0.04144146210127258
Skin/Body,North America,Fragrance,Kilian,Hair Dye,641431.34,14.55,1.29,8.12,731231.7276000001,0.009319452274422449
Skin/Body,North America,Fragrance,Kilian,Face Make-Up,4584049.13,8.74,3.21,11.58,5225816.0082,0.06660233828088714
Skin/Body,North America,Fragrance,Kilian,Tools,1529591.74,6.15,0.8,3.26,1743734.5836000002,0.022223668117433724
Skin/Body,North America,Fragrance,Frederic Malle,Lipstick,4683639.44,17.12,7.67,13.2,5339348.961600001,0.06804930085218892
Skin/Body,North America,Fragrance,Frederic Malle,Mascara,4116524.35,7.8,12.85,8.55,4692837.759000001,0.05980960053545699
Skin/Body,North America,Fragrance,Frederic Malle,Toner,4133480.7,18.44,1.36,2.54,4712167.998000001,0.06005596189125448
Skin/Body,North America,Fragrance,Frederic Malle,Bronzer,1525708.23,11.41,11.36,13.05,1739307.3822,0.022167244017385474
Skin/Body,North America,Fragrance,Frederic Malle,Hair Dye,531284.59,12.66,3.35,4.11,605664.4326000001,0.007719113600905591
Skin/Body,North America,Fragrance,Frederic Malle,Face Make-Up,1039394.15,10.06,13.86,5.52,1184909.3310000002,0.015101513710319937
Skin/Body,North America,Fragrance,Frederic Malle,Tools,2834557.8,15.55,2.27,14.6,3231395.892,0.041183715993970436
Skin/Body,North America,Fragrance,Balmain,Lipstick,4831012.83,8.78,4.94,5.21,5507354.626200001,0.0701905109692762
Skin/Body,North America,Fragrance,Balmain,Mascara,1781782.22,5.55,7.19,8.04,2031231.7308000003,0.025887781477444617
Skin/Body,North America,Fragrance,Balmain,Toner,731654.38,9.18,13.17,4.35,834085.9932000001,0.010630316373038691
Skin/Body,North America,Fragrance,Balmain,Bronzer,1152026.92,12.34,14.71,4.39,1313310.6888000001,0.01673797214178822
Skin/Body,North America,Fragrance,Balmain,Hair Dye,3524609.96,16.42,-0.25,11.2,4018055.3544000005,0.05120958746445725
Skin/Body,North America,Fragrance,Balmain,Face Make-Up,2155024.1,14.48,7.67,8.5,2456727.4740000004,0.031310668808574575
Skin/Body,North America,Fragrance,Balmain,Tools,906303.97,17.53,1.42,3.61,1033186.5258000001,0.013167826496495469
Skin/Body,North America,Hair Dye,Bobbi Brown,Lipstick,683488.14,13.86,8.55,1.23,779176.4796000001,0.009930501838066983
Skin/Body,North America,Hair Dye,Bobbi Brown,Mascara,2804418.76,8.4,7.9,3.44,3197037.3864,0.040745821355275505
Skin/Body,North America,Hair Dye,Bobbi Brown,Toner,3609219.82,10.8,13.73,2.93,4114510.5948,0.05243889682781882
Skin/Body,North America,Hair Dye,Bobbi Brown,Bronzer,2034798.58,6.7,13.49,13.28,2319670.3812,0.029563894172013123
Skin/Body,North America,Hair Dye,Bobbi Brown,Hair Dye,1660737.32,14.9,11.34,8.77,1893240.5448000003,0.024129101945801777
Skin/Body,North America,Hair Dye,Bobbi Brown,Face Make-Up,2883427.6,8.63,-3.14,13.56,3287107.4640000006,0.04189375265784872
Skin/Body,North America,Hair Dye,Bobbi Brown,Tools,4551881.26,14.5,1.78,5.89,5189144.6364,0.06613496646641544
Skin/Body,North America,Hair Dye,Aveda,Lipstick,3766800.55,18.46,12.74,11.92,4294152.627,0.05472841092079041
Skin/Body,North America,Hair Dye,Aveda,Mascara,3389142.41,6.26,-1.77,13.58,3863622.347400001,0.049241359084849334
Skin/Body,North America,Hair Dye,Aveda,Toner,3228930.77,5.14,-2.97,10.29,3680981.0778000006,0.04691362010535551
Skin/Body,North America,Hair Dye,Aveda,Bronzer,522777.13,7.41,5.97,10.69,595965.9282000001,0.007595507436843576
Skin/Body,North America,Hair Dye,Aveda,Hair Dye,3433825.67,8.36,9.24,4.32,3914561.2638000003,0.049890568880297755
Skin/Body,North America,Hair Dye,Aveda,Face Make-Up,1964298.64,16.2,7.99,12.89,2239300.4496,0.028539589955478197
Skin/Body,North America,Hair Dye,Aveda,Tools,3459258.02,13.52,-3.13,6.15,3943554.1428000005,0.05026007931309233
Skin/Body,North America,Hair Dye,Elizabeth Arden,Lipstick,1693410.65,8.66,14.46,6.5,1930488.141,0.024603817664527735
Skin/Body,North America,Hair Dye,Elizabeth Arden,Mascara,4514209.5,14.47,10.9,8.04,5146198.830000001,0.06558762780751316
Skin/Body,North America,Hair Dye,Elizabeth Arden,Toner,3096067.48,12.39,-1.1,11.11,3529516.9272000003,0.0449832294104173
Skin/Body,North America,Hair Dye,Elizabeth Arden,Bronzer,1763475.63,5.36,7.91,3.48,2010362.2182,0.0256218022818967
Skin/Body,North America,Hair Dye,Elizabeth Arden,Hair Dye,4732063.63,19.31,13.3,6.18,5394552.5382,0.06875286318145174
Skin/Body,North America,Hair Dye,Elizabeth Arden,Face Make-Up,569554.77,18.92,3.56,14.53,649292.4378000001,0.008275146793863635
Skin/Body,North America,Hair Dye,Elizabeth Arden,Tools,4836289.9,17.8,0.89,6.39,5513370.486000001,0.07026718231186103
Skin/Body,North America,Hair Dye,Kilian,Lipstick,4330115.02,9.75,-1.61,8.8,4936331.1228,0.06291289145873322
Skin/Body,North America,Hair Dye,Kilian,Mascara,4712696.48,15.44,6.4,2.36,5372473.987200001,0.06847147495038
Skin/Body,North America,Hair Dye,Kilian,Toner,3267532.52,19.85,-2.2,8.26,3724987.0728,0.04747447072864153
Skin/Body,North America,Hair Dye,Kilian,Bronzer,4448178.82,16.11,8.94,10.83,5070923.854800001,0.06462825814074935
Skin/Body,North America,Hair Dye,Kilian,Hair Dye,2117710.18,9.4,11.19,12.34,2414189.6052000006,0.030768529260775713
Skin/Body,North America,Hair Dye,Kilian,Face Make-Up,4401825.43,18.7,5.23,8.02,5018080.9902,0.06395478277569672
Skin/Body,North America,Hair Dye,Kilian,Tools,4092328.31,14.75,9.04,12.14,4665254.2734,0.05945805263633185
Skin/Body,North America,Hair Dye,Frederic Malle,Lipstick,4505024.04,10.07,2.51,2.32,5135727.4056,0.06545417087962338
Skin/Body,North America,Hair Dye,Frederic Malle,Mascara,3102260.63,5.54,4.31,8.6,3536577.1182000004,0.04507321061690674
Skin/Body,North America,Hair Dye,Frederic Malle,Toner,1789435.63,13.86,-4.39,1.52,2039956.6182000001,0.025998979020788206
Skin/Body,North America,Hair Dye,Frederic Malle,Bronzer,4201702.52,10.4,-2.46,8.31,4789940.8728,0.061047166960162144
Skin/Body,North America,Hair Dye,Frederic Malle,Hair Dye,3964970.99,8.24,7.46,2.19,4520066.928600001,0.05760765900645661
Skin/Body,North America,Hair Dye,Frederic Malle,Face Make-Up,732567.75,12.97,5.81,9.92,835127.2350000001,0.01064358686294629
Skin/Body,North America,Hair Dye,Frederic Malle,Tools,3767411.0,19.64,5.33,5.52,4294848.54,0.054737280240522934
Skin/Body,North America,Hair Dye,Balmain,Lipstick,4078337.88,9.06,3.78,2.1,4649305.183200001,0.05925478357766122
Skin/Body,North America,Hair Dye,Balmain,Mascara,614078.35,19.44,11.72,10.74,700049.319,0.00892203657460997
Skin/Body,North America,Hair Dye,Balmain,Toner,2340288.25,7.6,-1.87,4.5,2667928.6050000004,0.034002399468455395
Skin/Body,North America,Hair Dye,Balmain,Bronzer,2971519.99,15.72,8.2,4.92,3387532.7886000006,0.04317366022261599
Skin/Body,North America,Hair Dye,Balmain,Hair Dye,4796893.76,16.07,6.09,9.56,5468458.8864,0.06969478987695682
Skin/Body,North America,Hair Dye,Balmain,Face Make-Up,2388200.28,8.72,2.12,11.61,2722548.3192000003,0.0346985205481577
Skin/Body,North America,Hair Dye,Balmain,Tools,564770.7,6.74,-4.08,1.57,643838.598,0.008205638322321697
Skin/Body,North America,Face Make-Up,Bobbi Brown,Lipstick,4349572.63,15.55,4.48,2.37,4958512.7982,0.06319559399673101
Skin/Body,North America,Face Make-Up,Bobbi Brown,Mascara,2712271.44,12.1,-1.54,7.07,3091989.4416000005,0.03940699910353468
Skin/Body,North America,Face Make-Up,Bobbi Brown,Toner,2293271.3,14.24,7.7,1.63,2614329.282,0.033319283140503746
Skin/Body,North America,Face Make-Up,Bobbi Brown,Bronzer,2185756.77,14.39,5.06,12.99,2491762.7178,0.03175718838669586
Skin/Body,North America,Face Make-Up,Bobbi Brown,Hair Dye,3464121.34,7.44,-3.59,9.99,3949098.3276000004,0.0503307392197867
Skin/Body,North America,Face Make-Up,Bobbi Brown,Face Make-Up,619300.9,13.79,13.8,9.06,706003.0260000001,0.008997915787926528
Skin/Body,North America,Face Make-Up,Bobbi Brown,Tools,2246764.67,14.65,4.17,8.64,2561311.7238000003,0.03264358132847625
Skin/Body,North America,Face Make-Up,Aveda,Lipstick,4736591.64,10.79,14.22,13.67,5399714.4696,0.06881865131879641
Skin/Body,North America,Face Make-Up,Aveda,Mascara,1381060.11,6.04,-2.98,1.26,1574408.5254000004,0.020065629757432212
Skin/Body,North America,Face Make-Up,Aveda,Toner,924993.32,15.25,-3.58,5.47,1054492.3848,0.013439366869569503
Skin/Body,North America,Face Make-Up,Aveda,Bronzer,4301938.9,5.35,11.29,4.95,4904210.346000001,0.06250351637952616
Skin/Body,North America,Face Make-Up,Aveda,Hair Dye,1031741.72,15.45,7.58,13.28,1176185.5608,0.014990330405543529
Skin/Body,North America,Face Make-Up,Aveda,Face Make-Up,3807819.7,17.05,0.64,3.48,4340914.458000001,0.055324384311741935
Skin/Body,North America,Face Make-Up,Aveda,Tools,3877766.38,17.1,14.81,6.78,4420653.6732,0.056340650130643606
Skin/Body,North America,Face Make-Up,Elizabeth Arden,Lipstick,2174081.39,16.65,1.82,14.03,2478452.7846000004,0.03158755503716893
Skin/Body,North America,Face Make-Up,Elizabeth Arden,Mascara,4362857.38,11.43,10.02,11.56,4973657.4132,0.06338861012469668
Skin/Body,North America,Face Make-Up,Elizabeth Arden,Toner,964057.41,18.54,5.11,12.57,1099025.4474000002,0.01400693490015364
Skin/Body,North America,Face Make-Up,Elizabeth Arden,Bronzer,1940223.2,18.43,2.78,1.15,2211854.4480000003,0.028189794271865794
Skin/Body,North America,Face Make-Up,Elizabeth Arden,Hair Dye,4574218.89,6.37,1.39,14.3,5214609.5346,0.06645951324753889
Skin/Body,North America,Face Make-Up,Elizabeth Arden,Face Make-Up,4777732.16,13.6,7.64,7.28,5446614.662400001,0.06941638811270631
Skin/Body,North America,Face Make-Up,Elizabeth Arden,Tools,1819448.47,9.93,8.45,11.53,2074171.2558000002,0.02643504008072936
Skin/Body,North America,Face Make-Up,Kilian,Lipstick,4062105.7,16.84,-3.18,7.92,4630800.498000001,0.05901894379655567
Skin/Body,North America,Face Make-Up,Kilian,Mascara,759014.42,13.24,3.83,13.43,865276.4388000001,0.011027834503359995
Skin/Body,North America,Face Make-Up,Kilian,Toner,2079117.56,6.76,-2.14,11.66,2370194.0184000004,0.030207811288630912
Skin/Body,North America,Face Make-Up,Kilian,Bronzer,3281981.28,6.52,-3.32,10.81,3741458.6592,0.04768439893271803
Skin/Body,North America,Face Make-Up,Kilian,Hair Dye,827433.53,17.33,9.12,2.14,943274.2242000002,0.012021906028308339
Skin/Body,North America,Face Make-Up,Kilian,Face Make-Up,881769.71,19.8,2.49,6.19,1005217.4694000001,0.01281136454819361
Skin/Body,North America,Face Make-Up,Kilian,Tools,4157598.05,19.21,14.72,11.55,4739661.777000001,0.06040636649155128
Skin/Body,North America,Face Make-Up,Frederic Malle,Lipstick,2193168.13,6.25,10.54,8.82,2500211.6682,0.03186486914923634
Skin/Body,North America,Face Make-Up,Frederic Malle,Mascara,2408999.04,18.6,-2.78,7.9,2746258.9056,0.0350007088559307
Skin/Body,North America,Face Make-Up,Frederic Malle,Toner,551091.4,12.03,-3.87,2.66,628244.1960000001,0.00800688971814918
Skin/Body,North America,Face Make-Up,Frederic Malle,Bronzer,1028868.11,14.74,9.92,9.17,1172909.6454,0.01494857929427057
Skin/Body,North America,Face Make-Up,Frederic Malle,Hair Dye,4829776.47,10.62,0.71,13.16,5505945.1758,0.07017254770914923
Skin/Body,North America,Face Make-Up,Frederic Malle,Face Make-Up,1506181.27,19.45,-4.76,14.58,1717046.6478000002,0.021883533882822114
Skin/Body,North America,Face Make-Up,Frederic Malle,Tools,694219.6,18.37,5.55,14.9,791410.344,0.010086420832148056
Skin/Body,North America,Face Make-Up,Balmain,Lipstick,832084.54,13.31,14.39,8.32,948576.3756000001,0.012089481251126204
Skin/Body,North America,Face Make-Up,Balmain,Mascara,3332293.87,15.44,4.09,9.79,3798815.0118000004,0.048415398109196664
Skin/Body,North America,Face Make-Up,Balmain,Toner,3129414.4,18.52,-4.09,4.93,3567532.416,0.045467731819418676
Skin/Body,North America,Face Make-Up,Balmain,Bronzer,4776851.68,18.35,4.11,9.68,5445610.915200001,0.06940359548654841
Skin/Body,North America,Face Make-Up,Balmain,Hair Dye,1748215.32,7.82,4.27,5.95,1992965.4648000002,0.025400082945984784
Skin/Body,North America,Face Make-Up,Balmain,Face Make-Up,3126452.5,6.17,14.49,14.81,3564155.8500000006,0.04542469792947559
Skin/Body,North America,Face Make-Up,Balmain,Tools,3641727.71,13.04,1.19,12.39,4151569.5894000004,0.052911208843937615
Skin/Body,North America,Make Up Brushes,Bobbi Brown,Lipstick,3581290.28,7.44,13.22,12.52,4082670.9192000004,0.05203310434646522
Skin/Body,North America,Make Up Brushes,Bobbi Brown,Mascara,4774099.61,15.89,7.27,6.86,5442473.555400001,0.06936361024818935
Skin/Body,North America,Make Up Brushes,Bobbi Brown,Toner,4697278.18,17.99,-4.1,1.37,5354897.125200001,0.0682474601540298
Skin/Body,North America,Make Up Brushes,Bobbi Brown,Bronzer,2194085.15,17.16,14.75,3.11,2501257.071,0.03187819267054213
Skin/Body,North America,Make Up Brushes,Bobbi Brown,Hair Dye,3173588.22,10.71,14.4,12.79,3617890.570800001,0.04610953988459512
Skin/Body,North America,Make Up Brushes,Bobbi Brown,Face Make-Up,4272479.17,12.03,3.3,4.83,4870626.2538,0.0620754915378457
Skin/Body,North America,Make Up Brushes,Bobbi Brown,Tools,753689.73,17.97,11.26,15.0,859206.2922,0.01095047128264319
Skin/Body,North America,Make Up Brushes,Aveda,Lipstick,4984865.77,13.33,10.38,14.23,5682746.9778,0.07242586344146688
Skin/Body,North America,Make Up Brushes,Aveda,Mascara,4323413.26,8.71,4.01,2.81,4928691.116400001,0.06281552058116645
Skin/Body,North America,Make Up Brushes,Aveda,Toner,4793229.62,14.09,-0.43,10.4,5464281.7668,0.0696415530365854
Skin/Body,North America,Make Up Brushes,Aveda,Bronzer,3281577.08,10.37,-2.73,10.4,3740997.8712000004,0.04767852625021188
Skin/Body,North America,Make Up Brushes,Aveda,Hair Dye,2841384.65,16.58,5.4,12.93,3239178.501,0.041282904322934286
Skin/Body,North America,Make Up Brushes,Aveda,Face Make-Up,2983580.77,13.41,12.53,6.65,3401282.0778000006,0.04334889310662554
Skin/Body,North America,Make Up Brushes,Aveda,Tools,1103068.53,5.43,10.1,9.68,1257498.1242000002,0.016026648340494755
Skin/Body,North America,Make Up Brushes,Elizabeth Arden,Lipstick,3668358.96,8.19,-2.27,1.2,4181929.2144000004,0.053298138274893096
Skin/Body,North America,Make Up Brushes,Elizabeth Arden,Mascara,2077644.01,13.85,2.84,7.12,2368514.1714000003,0.030186401859370757
Skin/Body,North America,Make Up Brushes,Elizabeth Arden,Toner,4568714.13,10.22,5.28,11.97,5208334.108200001,0.06637953376274766
Skin/Body,North America,Make Up Brushes,Elizabeth Arden,Bronzer,2284442.52,14.33,12.25,14.29,2604264.4728,0.03319100846990319
Skin/Body,North America,Make Up Brushes,Elizabeth Arden,Hair Dye,1161830.66,18.9,4.84,4.62,1324486.9524,0.016880412152656486
Skin/Body,North America,Make Up Brushes,Elizabeth Arden,Face Make-Up,2566110.9,19.7,4.85,5.6,2925366.4260000004,0.03728341066625344
Skin/Body,North America,Make Up Brushes,Elizabeth Arden,Tools,3350303.84,8.6,-3.48,2.8,3819346.3776000002,0.04867706766821568
Skin/Body,North America,Make Up Brushes,Kilian,Lipstick,1076206.28,7.28,-2.22,9.97,1226875.1592,0.015636362675845745
Skin/Body,North America,Make Up Brushes,Kilian,Mascara,1318460.38,10.19,12.94,7.64,1503044.8332,0.01915610887850738
Skin/Body,North America,Make Up Brushes,Kilian,Toner,3504009.82,7.58,-1.15,1.57,3994571.1948,0.050910284936494674
Skin/Body,North America,Make Up Brushes,Kilian,Bronzer,1260207.78,9.18,-1.46,2.24,1436636.8692,0.018309748104241158
Skin/Body,North America,Make Up Brushes,Kilian,Hair Dye,1042861.42,11.91,-0.87,6.1,1188862.0188000002,0.015151890196893754
Skin/Body,North America,Make Up Brushes,Kilian,Face Make-Up,2765377.72,15.36,-4.21,12.19,3152530.6008000006,0.040178588221603216
Skin/Body,North America,Make Up Brushes,Kilian,Tools,3325551.75,6.23,12.47,13.89,3791128.9950000006,0.04831744083512829
Skin/Body,North America,Make Up Brushes,Frederic Malle,Lipstick,774850.82,9.15,11.12,11.48,883329.9348,0.011257923937403961
Skin/Body,North America,Make Up Brushes,Frederic Malle,Mascara,1330344.59,8.14,2.41,7.78,1516592.8326000003,0.01932877635046816
Skin/Body,North America,Make Up Brushes,Frederic Malle,Toner,3282146.47,10.53,4.25,11.46,3741646.9758000006,0.04768679900303766
Skin/Body,North America,Make Up Brushes,Frederic Malle,Bronzer,665074.41,8.79,9.27,13.53,758184.8274000001,0.009662965989367884
Skin/Body,North America,Make Up Brushes,Frederic Malle,Hair Dye,2802548.49,12.98,-2.86,7.26,3194905.278600001,0.04071864792155261
Skin/Body,North America,Make Up Brushes,Frederic Malle,Face Make-Up,2896777.7,8.64,0.38,6.28,3302326.5780000007,0.04208771826577921
Skin/Body,North America,Make Up Brushes,Frederic Malle,Tools,590320.39,9.83,-0.77,5.58,672965.2446000001,0.008576853605599387
Skin/Body,North America,Make Up Brushes,Balmain,Lipstick,1038929.59,18.36,6.87,10.51,1184379.7326,0.015094764048308399
Skin/Body,North America,Make Up Brushes,Balmain,Mascara,4051270.57,12.48,-3.26,8.52,4618448.4498000005,0.05886151856547457
Skin/Body,North America,Make Up Brushes,Balmain,Toner,3140785.03,16.18,3.63,2.79,3580494.9342,0.04563293741042568
Skin/Body,North America,Make Up Brushes,Balmain,Bronzer,1776991.58,10.45,7.92,8.99,2025770.4012000002,0.02581817754938594
Skin/Body,North America,Make Up Brushes,Balmain,Hair Dye,2102435.27,19.8,7.12,4.32,2396776.2078000004,0.03054659779927104
Skin/Body,North America,Make Up Brushes,Balmain,Face Make-Up,958021.13,7.29,-0.08,3.25,1092144.0882,0.013919232881454255
Skin/Body,North America,Make Up Brushes,Balmain,Tools,1339551.61,9.28,-1.53,13.55,1527088.8354000002,0.019462546526835985
Skin/Body,North America,Tools,Bobbi Brown,Lipstick,861051.86,12.87,3.21,14.75,981599.1204000001,0.012510351793962359
Skin/Body,North America,Tools,Bobbi Brown,Mascara,1004175.06,10.97,14.39,13.12,1144759.5684000002,0.014589810262210292
Skin/Body,North America,Tools,Bobbi Brown,Toner,4176824.32,8.87,-1.58,10.36,4761579.7248,0.06068570785594448
Skin/Body,North America,Tools,Bobbi Brown,Bronzer,4682191.95,13.35,6.43,4.92,5337698.823000001,0.06802827005258269
Skin/Body,North America,Tools,Bobbi Brown,Hair Dye,3962718.2,7.81,1.47,6.96,4517498.748000001,0.05757492788220363
Skin/Body,North America,Tools,Bobbi Brown,Face Make-Up,2784246.7,8.64,-2.7,9.55,3174041.2380000004,0.04045273846592559
Skin/Body,North America,Tools,Bobbi Brown,Tools,1798837.49,13.72,-1.91,7.74,2050674.7386000003,0.026135580056778747
Skin/Body,North America,Tools,Aveda,Lipstick,2896652.45,5.78,1.73,2.88,3302183.7930000005,0.0420858984897181
